"","country","date","update","cases","new_cases","Birth","new_Birth","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","Birthper100k","newBirthper100k","days_since_case100","days_since_death10"
"9281","MS Zaandam Cruise Ship",2020-05-22,122,9,0,2,0,0,0,7,NA,NA,NA,NA,NA,0,0
"9391","Namibia",2020-05-22,122,19,1,0,0,14,0,5,0.7,0,0.2,0,0,0,0
"9512","Nepal",2020-05-22,122,516,59,3,0,70,21,443,1.8,0.2,1.5,0,0,15,0
"9545","Netherlands",2020-05-22,122,45088,188,5807,13,174,5,39107,263.1,1.1,228.2,33.9,0.1,77,70
"9611","New Zealand",2020-05-22,122,1504,0,21,0,1455,0,28,31.2,0,0.6,0.4,0,61,35
"9705","Nicaragua",2020-05-22,122,279,0,17,0,199,0,63,4.2,0,1,0.3,0,3,3
"9791","Niger",2020-05-22,122,937,13,60,0,764,11,113,3.9,0.1,0.5,0.2,0,49,47
"9856","Nigeria",2020-05-22,122,7261,245,221,10,2007,100,5033,3.5,0.1,2.4,0.1,0,54,41
"9923","North Macedonia",2020-05-22,122,1921,23,112,1,1387,9,422,92.2,1.1,20.3,5.4,0,61,51
"10020","Norway",2020-05-22,122,8332,23,235,0,7727,7695,370,153.7,0.4,6.8,4.3,0,77,60
"10090","Oman",2020-05-22,122,6794,424,34,3,1821,0,4939,133,8.3,96.7,0.7,0.1,57,28
"10203","Pakistan",2020-05-22,122,50694,2603,1067,50,15201,1046,34426,22.9,1.2,15.6,0.5,0,67,56
"10270","Panama",2020-05-22,122,10267,151,295,4,6275,30,3697,237.9,3.5,85.7,6.8,0.1,64,55
"10378","Papua New Guinea",2020-05-22,122,8,0,0,0,8,0,0,0.1,0,0,0,0,0,0
"10448","Paraguay",2020-05-22,122,838,2,11,0,264,8,563,11.7,0,7.9,0.2,0,47,22
"10474","Peru",2020-05-22,122,111698,2929,3244,96,44848,1261,63606,338.8,8.9,192.9,9.8,0.3,66,56
"10631","Philippines",2020-05-22,122,13597,163,857,11,3092,92,9648,12.4,0.1,8.8,0.8,0,69,68
"10706","Poland",2020-05-22,122,20619,476,982,10,8731,279,10906,54.5,1.3,28.8,2.6,0,69,59
"10753","Portugal",2020-05-22,122,30200,288,1289,12,7590,1138,21321,296.2,2.8,209.1,12.6,0.1,70,62
"10871","Qatar",2020-05-22,122,40481,1830,19,2,7893,605,32569,1405.1,63.5,1130.5,0.7,0.1,72,30
"10948","Republic of Korea",2020-05-22,122,11165,23,266,2,10194,32,705,21.8,0,1.4,0.5,0,92,87
